itemName,type,meal,location,ingredients
SMOKED BRISKET SLIDER,ENTREES,Lunch,Atrium,"KINGS HAWAIIN BASE (POTATO FRIES SEASONED WAFFLE , ROLL KINGS HAWAIIAN FOODSERVICE SLICED, PICKLE WHOLE NEW (GREEN)), SMOKED BEEF BRISKET (BEEF BRISKET 120, BUTTER PRINT SOLIDS 36/1lb, ONION POWDER, GRANULATED GARLIC, BLACK PEPPER, KOSHER SALT), NAPA SLAW (PRD CABBAGE NAPPA, PRD PEPPER YELLOW, PRD PEPPER RED * AVG 22/25#, PRD CABBAGE GREEN, DRESSING MAYONNAISE (SOYBEAN OIL, WATER, WHOLE EGGS AND EGG YOLKS, DISTILLED VINEGAR, SALT, SUGAR, LEMON JUICE CONCENTRATE, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), NATURAL FLAVORS.), OIL OLIVE 25%/75%, VINEGAR RICE SEASONED (RICE VINEGAR (WATER, RICE), SUGAR, SALT, WATER), JUICE FRESH LIME NATURAL, PRD ONION GREEN SCALLION, KOSHER SALT, CRUSHED RED PEPPER FLAKES, BLACK PEPPER, GLUTEN FREE TAMARI SOY SAUCE, JUICE FRESH LIME NATURAL), BACON JAM (PRD ONION SPANISH DRY, BACON "" REAL "" BITS (PORK BACON CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATE, SODIUM ERYTHORBATE, SODIUM NITRITE, MAY CONTAIN NATURAL SMOKE FLAVORING.), SAUCE BBQ SWEET BABY RAY'S (HIGH FRUCTOSE CORN SYRUP, DISTILLED VINEGAR, TOMATO PASTE, MODIFIED FOOD STARCH, CONTAINS LESS THAN 2% OF: SALT, PINEAPPLE JUICE CONCENTRATE, NATURAL SMOKE FLAVOR, SPICES, CARAMEL COLOR, SODIUM BENZOATE AS A PRESERVATIVE, MOLASSES, CORN SYRUP, GARLIC*, SUGAR, TAMARIND, NATURAL FLAVOR. *DRIED)), CILANTRO CREMA (MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), PRD ONION GREEN SCALLION, HERB FRESH CILANTRO BUNCH, PRD PEPPER CHILE SERRANO GREEN, BLACK PEPPER, SALT), TOPPING FRENCHS ONION FRIED"
THREE CHILI'S NACHOS,ENTREES,Lunch,Atrium,"TORTILLA CORN TRI COLOR, MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), GUACAMOLE WESTERN STYLE, ROASTED CORN PICO DE GALLO (PICO DE GALLO FRESH, PRD CORN ON THE COB/YELLOW, JUICE FRESH LIME NATURAL, HERB FRESH CILANTRO BUNCH, KOSHER SALT, BLACK PEPPER), QUESO BLANCO SAUCE (CHEESE AMERICAN LOAF 30#, MILK WHOLE 5GAL, BUTTER PRINT SOLIDS 36/1lb, ONION POWDER, GROUND CUMIN, GARLIC POWDER, CHILI POWDER (CHILI PEPPER, SPICES, SALT, SILICON DIOXIDE (TO MAKE FREE FLOWING), AND GARLIC.), CAYENNE PEPPER)"
TOFU POKE BOWL,ENTREES,Lunch,Atrium,"POKE BOWL RICE (RICE STICKY (ORIENTAL), FRU PRD PINEAPPLE GOLDEN 6-7 CT, PRD CUCUMBER SEEDLESS 12ct, FRU PRD AVOCADO RIPE CAL 48CT, FRU PRD MANGO, SAUCE PONZU, PRD PEPPER RED * AVG 22/25#, WATERMELON RADISH, PRD CARROT SHREDDED, PRD KALE LACINATO (BLACK), PRD ONION GREEN SCALLION, WHITE SESAME SEEDS, PRD AMARANTH MICROGREEN, BLACK SESAME SEEDS), TOFU FIRM BULK (WATER, SOYBEANS, CALCIUM SULFATE, CALCIUM CHLORIDE)"
VEGAN KABOB,ENTREES,Lunch,Atrium,"MEZZE BOWL (SALAD TABBOULI, GRAPE LEAVES STUFFED, HUMMUS REG 4/2# (TRIBE: COOKED CHICKPEAS (CHICKPEAS, WATER), TAHINI (GROUND SESAME), CANOLA OIL, SEA SALT, DRIED ROASTED GARLIC, CITRIC ACID, SPICES. CONTAINS SESAME.), OLIVE GREEK KALAMATA PITTED, HORIATIKI GREEK SALAD (CHEESE FETA, PRD ONION RED, PRD PEPPER GREEN LARGE, PRD CUCUMBER SEEDLESS 12ct, PRD TOMATO GRAPE 12/ 1/2pt/RED, OLIVE GREEK KALAMATA PITTED, PRD GARLIC PEELED FRESH GAL, BLACK PEPPER, KOSHER SALT, OREGANO LEAVES, OIL OLIVE PURE, VINEGAR RED WINE 4/1gal)), VEGAN BEYOND GROUND MEAT, ONION POWDER, CHILI POWDER (CHILI PEPPER, SPICES, SALT, SILICON DIOXIDE (TO MAKE FREE FLOWING), AND GARLIC.), SPICE MASALA GARAM , GROUND SUMAC, CAYENNE PEPPER, GARLIC POWDER"
VEGETABLE SUSHI,ENTREES,Lunch,Atrium,"RICE STICKY (ORIENTAL), GLUTEN FREE TAMARI SOY SAUCE, VINEGAR RICE SEASONED (RICE VINEGAR (WATER, RICE), SUGAR, SALT, WATER), PRD ASPARAGUS GREEN 11LB, PRD PEPPER RED * AVG 22/25#, PRD PEPPER YELLOW, PRD CARROT, PICKLE GINGER SUSHI, WASABI (WASABI POWDER (HORSERADISH, MUSTARD, CITRIC ACID, VITAMIN C, FD&C YELLOW NO. 5, FD&C BLUE NO. 1), WATER FRESH), WRAP NORI ( SEAWEED SHEET )"
BAJA SHRIMP TACO W/ CILANTRO LIME CREME,ENTREES,Dinner,Atrium,"TRI COLOR TORTILLA CHIP W/ TAJIN (CHIP TORTILLA TRI-COLOR), FRZ FISH SHRIMP LG PDI 41-50CT T/OFF, PRD GARLIC PEELED FRESH GAL, TORTILLAS FLOUR 6"", JUICE FRESH LIME NATURAL, CILANTRO CREMA (MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), PRD ONION GREEN SCALLION, HERB FRESH CILANTRO BUNCH, PRD PEPPER CHILE SERRANO GREEN, BLACK PEPPER, SALT), PRD CABBAGE GREEN SHRED 5LB, PRD ONION GREEN SCALLION, OIL OLIVE PURE, KOSHER SALT, HERB FRESH CILANTRO BUNCH, BLACK PEPPER, OREGANO LEAVES, GROUND CUMIN, GROUND CORIANDER, CHILI POWDER (CHILI PEPPER, SPICES, SALT, SILICON DIOXIDE (TO MAKE FREE FLOWING), AND GARLIC.)"
BEEF SLIDERS,ENTREES,Dinner,Atrium,"KINGS HAWAIIN BASE (POTATO FRIES SEASONED WAFFLE , ROLL KINGS HAWAIIAN FOODSERVICE SLICED, PICKLE WHOLE NEW (GREEN)), BEEF SLIDER 80/2oz FRESH THICK, PRD TOMATO LARGE (6x6), PRD LETTUCE SHREDDED"
BRISKET TACO,ENTREES,Dinner,Atrium,"TRI COLOR TORTILLA CHIP W/ TAJIN (CHIP TORTILLA TRI-COLOR), SMOKED BEEF BRISKET (BEEF BRISKET 120, BUTTER PRINT SOLIDS 36/1lb, ONION POWDER, GRANULATED GARLIC, BLACK PEPPER, KOSHER SALT), HABANERO LIME GARLIC CREMA (FRU PRD LIMES, MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), HERB FRESH CILANTRO BUNCH, PRD GARLIC PEELED FRESH GAL, KOSHER SALT), TORTILLAS FLOUR 6"", ROASTED CORN PICO DE GALLO (PICO DE GALLO FRESH, PRD CORN ON THE COB/YELLOW, JUICE FRESH LIME NATURAL, HERB FRESH CILANTRO BUNCH, KOSHER SALT, BLACK PEPPER), CARMELIZED ONIONS (PRD ONION SPANISH SLICED, OIL WESSON CANOLA 4/1GAL, KOSHER SALT)"
CALIFORNIA ROLL,ENTREES,Dinner,Atrium,"SUSHI RICE (WATER FRESH, RICE STICKY (ORIENTAL), VINEGAR RICE SEASONED (RICE VINEGAR (WATER, RICE), SUGAR, SALT, WATER), SAUCE MIRIN (GLUCOSE SYRUP, WATER, ALCOHOL, RICE, CORN SYRUP, SALT)), PRD CUCUMBER SEEDLESS 12ct, FRZ FISH SEA LEGS STICKS, FRU PRD AVOCADO RIPE CAL 48CT, GLUTEN FREE TAMARI SOY SAUCE, WRAP NORI ( SEAWEED SHEET ), WASABI (WASABI POWDER (HORSERADISH, MUSTARD, CITRIC ACID, VITAMIN C, FD&C YELLOW NO. 5, FD&C BLUE NO. 1), WATER FRESH), PICKLE GINGER SUSHI"
CHEESEBURGER SLIDER,ENTREES,Dinner,Atrium,"KINGS HAWAIIN BASE (POTATO FRIES SEASONED WAFFLE , ROLL KINGS HAWAIIAN FOODSERVICE SLICED, PICKLE WHOLE NEW (GREEN)), BEEF SLIDER 80/2oz FRESH THICK, CHEESE AMERICAN SLCD YELLOW (SKIM MILK, AMERICAN CHEESE (MILK, CHEESE CULTURES, SALT, ENZYMES), PALM OIL, CASEIN (MILK PROTEIN), MODIFIED FOOD STARCH, SODIUM CITRATE, SALT, NATURAL FLAVOR, WHEY, CITRIC ACID, SORBIC ACID (AS A PRESERVATIVE), ARTIFICIAL COLOR, LECITHIN (SOY)), PRD TOMATO LARGE (6x6), PRD LETTUCE SHREDDED"
CHICKEN FINGER,ENTREES,Dinner,Atrium,"POTATO FRIES SEASONED WAFFLE , FRZ CHICKEN BRD TENDER SIZED (PORTIONED CHICKEN TENDERS WITH RIB MEAT CONTAINING: UP TO 12% OF A SOLUTION OF WATER, SALT, SODIUM PHOSPHATES, MODIFIED FOOD STARCH. BREADED WITH: BLEACHED WHEAT FLOUR, WHEAT FLOUR, WATER, CONTAINS 2% OR LESS OF THE FOLLOWING: AUTOLYZED YEAST EXTRACT, DEXTROSE, DRIED YEAST, DISODIUM INOSINATE AND DISODIUM GUANYLATE, LEAVENING (SODIUM BICARBONATE, SODIUM ACID PYROPHOSPHATE, SODIUM ALUMINUM PHOSPHATE, MONOCALCIUM PHOSPHATE), SALT, SOYBEAN OIL, SPICES, SPICE EXTRACTIVE, WHEAT GLUTEN. BREADING SET IN VEGETABLE OIL.), PICKLE WHOLE NEW (GREEN)"
CHICKEN SOUVLAKI,ENTREES,Dinner,Atrium,FRZ CHICKEN SKEWER
COCONUT LIME CHICKEN TACO,ENTREES,Dinner,Atrium,"TRI COLOR TORTILLA CHIP W/ TAJIN (CHIP TORTILLA TRI-COLOR), FRZ CHICKEN COOKED DICED (BONELESS, SKINLESS DICED DARK AND WHITE CHICKEN, WATER, RICE STARCH, VINEGAR, SEASONING (MALTODEXTRIN, YEAST EXTRACT, CHICKEN STOCK, SALT AND FLAVORS).), TORTILLAS FLOUR 6"", MILK COCONUT * UNSWEETENED CAN, THAI CHILI CREMA (MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), BASE ROASTED GARLIC (GARLIC JUICE, DEHYDRATED ROASTED GARLIC, SALT, MALTODEXTRIN, SUGAR, MIXED TRIGLYCERIDES, CORN SYRUP SOLIDS, SOYBEAN OIL, NATURAL FLAVORS, AUTOLYZED YEAST EXTRACT (CONTAINS BARLEY), XANTHAN GUM, WATER, SOY LECITHIN, LACTIC ACID, POTASSIUM SORBATE (TO RETARD SPOILAGE), MOLASSES, ONION POWDER, AND GARLIC POWDER), SAUCE CHILI SWEET THAI), PICO DE GALLO (PRD TOMATO LARGE (6x6), PRD ONION RED, PRD PEPPER JALAPENO FRESH, PRD ONION GREEN SCALLION, OIL OLIVE PURE, KOSHER SALT, PRD GARLIC PEELED FRESH GAL, HERB FRESH CILANTRO BUNCH, JUICE REAL LEMON 8/48oz (LEMON JUICE FROM CONCENTRATE (WATER, CONCENTRATED LEMON JUICE), AND LESS THAN 2% OF SODIUM BENZOATE, SODIUM METABISULFITE AND SODIUM SULFITE (PRESERVATIVES), AND LEMON OIL.), JUICE FRESH LIME NATURAL), JUICE FRESH LIME NATURAL, VINEGAR RICE SEASONED (RICE VINEGAR (WATER, RICE), SUGAR, SALT, WATER), HERB FRESH CILANTRO BUNCH, DRESSING MAYONNAISE (SOYBEAN OIL, WATER, WHOLE EGGS AND EGG YOLKS, DISTILLED VINEGAR, SALT, SUGAR, LEMON JUICE CONCENTRATE, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), NATURAL FLAVORS.), PRD RADISH DAIKON -10 LB, PRD CARROT, PRD GARLIC PEELED FRESH GAL, PRD SHALLOTS PEELED GALLON, SUGAR GRANULATED 25LB, BLACK PEPPER, KOSHER SALT, PRD GINGER"
CRISPY CHICKEN SLIDER,ENTREES,Dinner,Atrium,"KINGS HAWAIIN BASE (POTATO FRIES SEASONED WAFFLE , ROLL KINGS HAWAIIAN FOODSERVICE SLICED, PICKLE WHOLE NEW (GREEN)), FRZ CHICKEN TEMPURA BREAST CHUNKS (BONELESS, SKINLESS, CHICKEN BREAST CHUNKS WITH RIB MEAT CONTAINING: UP TO 15% OF A SOLUTION OF WATER, SEASONING [MALTODEXTRIN, AUTOLYZED YEAST EXTRACT, SALT, POTASSIUM CHLORIDE, FLAVORING, DISODIUM INOSINATE, DISODIUM GUANYLATE, CONTAINS LESS THAN 2% (CARROT SOLIDS, CORNSTARCH, DIPOTASSIUM PHOSPHATE, INVERT SUGAR, POTATO MALTODEXTRIN, SODIUM ACETATE, SUGAR, TAPIOCA MALTODEXTRIN, TARTARIC ACID)], MODIFIED FOOD STARCH, SODIUM PHOSPHATES, SALT. COATED WITH: CORN STARCH, TAPIOCA STARCH, DEXTRIN, RICE FLOUR, SALT, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE), SOYBEAN OIL.), CITRUS TAHINI SLAW (PRD SLAW BROCCOLI MIX 2/3LB, CITRUS TAHINI DRESSING (PASTE TAHINI, OIL SESAME SEED 10/56oz, FRU PRD LEMONS 165ct, FRU PRD LIMES, VINEGAR RICE SEASONED (RICE VINEGAR (WATER, RICE), SUGAR, SALT, WATER), WATER FRESH, OIL OLIVE PURE, PRD GARLIC PEELED FRESH GAL, JUICE FRESH LIME NATURAL, KOSHER SALT)), TOPPING FRENCHS ONION FRIED"
GENERAL TSO CHICKEN,ENTREES,Dinner,Atrium,"FRZ CHICKEN TEMPURA BREAST CHUNKS (BONELESS, SKINLESS, CHICKEN BREAST CHUNKS WITH RIB MEAT CONTAINING: UP TO 15% OF A SOLUTION OF WATER, SEASONING [MALTODEXTRIN, AUTOLYZED YEAST EXTRACT, SALT, POTASSIUM CHLORIDE, FLAVORING, DISODIUM INOSINATE, DISODIUM GUANYLATE, CONTAINS LESS THAN 2% (CARROT SOLIDS, CORNSTARCH, DIPOTASSIUM PHOSPHATE, INVERT SUGAR, POTATO MALTODEXTRIN, SODIUM ACETATE, SUGAR, TAPIOCA MALTODEXTRIN, TARTARIC ACID)], MODIFIED FOOD STARCH, SODIUM PHOSPHATES, SALT. COATED WITH: CORN STARCH, TAPIOCA STARCH, DEXTRIN, RICE FLOUR, SALT, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE), SOYBEAN OIL.), SAUCE ASIAN MENU GENERAL TSO (SUGAR, WATER, SOY SAUCE (SOYBEANS, WHEAT, WATER, SALT), VINEGAR, GARLIC JUICE (GARLIC JUICE, SALT), KETCHUP (TOMATO CONCENTRATE, DISTILLED VINEGAR, SUGAR, SALT, ONION POWDER, SPICE, NATURAL FLAVORING), SOYBEAN OIL, GARLIC, XANTHAM GUM, SPICE, NATURAL PRESERVATIVE.), PRD BROCCOLI FLORETTES 4/3#, SAUCE DUCK, FRYING OIL (EXPELLER PRESSED CANOLA OIL), PRD PEPPER GREEN LARGE, PRD PEPPER RED * AVG 22/25#, CORNSTARCH SLURRY (WATER FRESH, CORNSTARCH), PRD ONION SPANISH DRY, OIL WESSON CANOLA 4/1GAL"
GENERAL TSO TOFU,ENTREES,Dinner,Atrium,"RICE BASMATI, TOFU FIRM BULK (WATER, SOYBEANS, CALCIUM SULFATE, CALCIUM CHLORIDE), SAUCE ASIAN MENU GENERAL TSO (SUGAR, WATER, SOY SAUCE (SOYBEANS, WHEAT, WATER, SALT), VINEGAR, GARLIC JUICE (GARLIC JUICE, SALT), KETCHUP (TOMATO CONCENTRATE, DISTILLED VINEGAR, SUGAR, SALT, ONION POWDER, SPICE, NATURAL FLAVORING), SOYBEAN OIL, GARLIC, XANTHAM GUM, SPICE, NATURAL PRESERVATIVE.), PRD ONION SPANISH DRY, PRD BROCCOLI FLORETTES 4/3#, PRD PEPPER GREEN LARGE, PRD PEPPER RED * AVG 22/25#, SAUCE DUCK, FRYING OIL (EXPELLER PRESSED CANOLA OIL), OIL WESSON CANOLA 4/1GAL, CORNSTARCH SLURRY (WATER FRESH, CORNSTARCH)"
GYRO,ENTREES,Dinner,Atrium,"GYRO CONE, PRD LETTUCE SHREDDED, PRD TOMATO LARGE (6x6), PRD ONION RED"
HAND TOSSED CHEESE PIZZA,ENTREES,Dinner,Atrium,"PIZZA DOUGH BALL 20oz, SAUCE PREPARED PIZZA , CHEESE MOZZ SHRED RUTGERS BLEND (LOW MOISTURE WHOLE MILK MOZZARELLA, PROVOLONE CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), POWDERED CELLULOSE (TO PREVENT CAKING), POTASSIUM SORBATE AND NATAMYCIN.)"
HAND TOSSED CHICKEN BACON RANCH PIZZA,ENTREES,Dinner,Atrium,"FRZ PIZZA CRUST PINSA - ATRIUM ONLY, CHEESE MOZZ SHRED RUTGERS BLEND (LOW MOISTURE WHOLE MILK MOZZARELLA, PROVOLONE CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), POWDERED CELLULOSE (TO PREVENT CAKING), POTASSIUM SORBATE AND NATAMYCIN.), SAUCE PREPARED PIZZA , FRZ CHICKEN COOKED DICED (BONELESS, SKINLESS DICED DARK AND WHITE CHICKEN, WATER, RICE STARCH, VINEGAR, SEASONING (MALTODEXTRIN, YEAST EXTRACT, CHICKEN STOCK, SALT AND FLAVORS).), BACON LAYOUT 15 lbs (PORK BACON CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATE, LIQUID SMOKE, SODIUM ERYTHORBATE, SODIUM NITRITE.), DRESSING RANCH CREAMY (SOYBEAN OIL, WATER, CULTURED BUTTERMILK, EGG YOLK, DISTILLED VINEGAR, CONTAINS LESS THAN 2% OF SALT, MONOSODIUM GLUTAMATE, MODIFIED CORN STARCH, BUTTERMILK SOLIDS, SUGAR, GARLIC (DRIED), XANTHAN GUM, SPICE, CITRIC ACID, ONION (DRIED), SORBIC ACID (PRESERVATIVE), CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR), EGG WHITES.)"
HAND TOSSED MEAT LOVER'S PIZZA,ENTREES,Dinner,Atrium,"FRZ PIZZA CRUST PINSA - ATRIUM ONLY, CHEESE MOZZ SHRED RUTGERS BLEND (LOW MOISTURE WHOLE MILK MOZZARELLA, PROVOLONE CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), POWDERED CELLULOSE (TO PREVENT CAKING), POTASSIUM SORBATE AND NATAMYCIN.), SAUCE PREPARED PIZZA , TURKEY PEPPERONI * 20 LB CASE (TURKEY, PEPPERONI SEASONING (CORN SYRUP, SPICES (MUSTARD), PAPRIKA, DEXTROSE, PAPRIKA OLEORESIN, GARLIC POWDER, SPICE EXTRACTIVES, SMOKE FLAVORING), WATER, CONTAINS 2% OR LESS SALT, CITRIC ACID, DEXTROSE, CARRAGEENAN, PEPPER, SODIUM NITRITE.), THUMANN SAUSAGE CRUMBLES (PORK, WATER, SALT, DEXTROSE, ISOLATED SOY PROTEIN, FLAVORINGS, PAPRIKA, BHA, CITRIC ACID.), BACON "" REAL "" BITS (PORK BACON CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATE, SODIUM ERYTHORBATE, SODIUM NITRITE, MAY CONTAIN NATURAL SMOKE FLAVORING.)"
HAND TOSSED VEGGIE PIZZA,ENTREES,Dinner,Atrium,"PIZZA DOUGH BALL 20oz, SAUCE PREPARED PIZZA , CHEESE MOZZ SHRED RUTGERS BLEND (LOW MOISTURE WHOLE MILK MOZZARELLA, PROVOLONE CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), POWDERED CELLULOSE (TO PREVENT CAKING), POTASSIUM SORBATE AND NATAMYCIN.), PRD PEPPER RED * AVG 22/25#, PRD ONION SPANISH DRY, PRD MUSHROOM 10# 1""-1.5"" DIAM, PRD PEPPER GREEN LARGE, OLIVES RIPE SLICED (SLICED RIPE OLIVES, WATER, SALT, FERROUS GLUCONATE (ADDED TO STABILIZE COLOR))"
HUNAN BEEF,ENTREES,Dinner,Atrium,"BEEF STRIPS 1/4 x 1/4 x 3, PRD ASPARAGUS GREEN 11LB, SAUCE ASIAN MENU CLASSIC STIRFRY (SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), SUGAR, WATER, ONIONS, CORN STARCH, XANTHAN GUM, CITRIC ACID, GARLIC PUREE (DEHYDRATED GARLIC, WATER), ROASTED SESAME SEED OIL), PRD ONION SPANISH DRY, PRD PEPPER RED * AVG 22/25#, CORNSTARCH SLURRY (WATER FRESH, CORNSTARCH), OIL WESSON CANOLA 4/1GAL, PRD GARLIC PEELED FRESH GAL, WHITE GROUND PEPPER"
KH WINGS,ENTREES,Dinner,Atrium,"CHICKEN WING JUM DISJ FRSH 40#, POTATO FRIES SEASONED WAFFLE , PICKLE SPEARS DILL TUBS, DRESSING PC 1.5oz BLUE CHEESE CUP, SAUCE FRANKS HOT 4/1gal (AGED CAYENNE RED PEPPER, DISTILLED VINEGAR, WATER, SALT, GARLIC POWDER), TOPPING HONEY MIKES HOT, PRD CELERY STICKS 5LB BAG, PRD CARROT STICKS 5LB BAG"
MEZZE BOWL,ENTREES,Dinner,Atrium,"SALAD TABBOULI, GRAPE LEAVES STUFFED, HUMMUS REG 4/2# (TRIBE: COOKED CHICKPEAS (CHICKPEAS, WATER), TAHINI (GROUND SESAME), CANOLA OIL, SEA SALT, DRIED ROASTED GARLIC, CITRIC ACID, SPICES. CONTAINS SESAME.), OLIVE GREEK KALAMATA PITTED, HORIATIKI GREEK SALAD (CHEESE FETA, PRD ONION RED, PRD PEPPER GREEN LARGE, PRD CUCUMBER SEEDLESS 12ct, PRD TOMATO GRAPE 12/ 1/2pt/RED, OLIVE GREEK KALAMATA PITTED, PRD GARLIC PEELED FRESH GAL, BLACK PEPPER, KOSHER SALT, OREGANO LEAVES, OIL OLIVE PURE, VINEGAR RED WINE 4/1gal)"
SALMON POKE BOWL,ENTREES,Dinner,Atrium,"POKE BOWL RICE (RICE STICKY (ORIENTAL), FRU PRD PINEAPPLE GOLDEN 6-7 CT, PRD CUCUMBER SEEDLESS 12ct, FRU PRD AVOCADO RIPE CAL 48CT, FRU PRD MANGO, SAUCE PONZU, PRD PEPPER RED * AVG 22/25#, WATERMELON RADISH, PRD CARROT SHREDDED, PRD KALE LACINATO (BLACK), PRD ONION GREEN SCALLION, WHITE SESAME SEEDS, PRD AMARANTH MICROGREEN, BLACK SESAME SEEDS), FISH SALMON FLT S/OFF 4oz"
SMOKED BRISKET SLIDER,ENTREES,Dinner,Atrium,"KINGS HAWAIIN BASE (POTATO FRIES SEASONED WAFFLE , ROLL KINGS HAWAIIAN FOODSERVICE SLICED, PICKLE WHOLE NEW (GREEN)), SMOKED BEEF BRISKET (BEEF BRISKET 120, BUTTER PRINT SOLIDS 36/1lb, ONION POWDER, GRANULATED GARLIC, BLACK PEPPER, KOSHER SALT), NAPA SLAW (PRD CABBAGE NAPPA, PRD PEPPER YELLOW, PRD PEPPER RED * AVG 22/25#, PRD CABBAGE GREEN, DRESSING MAYONNAISE (SOYBEAN OIL, WATER, WHOLE EGGS AND EGG YOLKS, DISTILLED VINEGAR, SALT, SUGAR, LEMON JUICE CONCENTRATE, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), NATURAL FLAVORS.), OIL OLIVE 25%/75%, VINEGAR RICE SEASONED (RICE VINEGAR (WATER, RICE), SUGAR, SALT, WATER), JUICE FRESH LIME NATURAL, PRD ONION GREEN SCALLION, KOSHER SALT, CRUSHED RED PEPPER FLAKES, BLACK PEPPER, GLUTEN FREE TAMARI SOY SAUCE, JUICE FRESH LIME NATURAL), BACON JAM (PRD ONION SPANISH DRY, BACON "" REAL "" BITS (PORK BACON CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATE, SODIUM ERYTHORBATE, SODIUM NITRITE, MAY CONTAIN NATURAL SMOKE FLAVORING.), SAUCE BBQ SWEET BABY RAY'S (HIGH FRUCTOSE CORN SYRUP, DISTILLED VINEGAR, TOMATO PASTE, MODIFIED FOOD STARCH, CONTAINS LESS THAN 2% OF: SALT, PINEAPPLE JUICE CONCENTRATE, NATURAL SMOKE FLAVOR, SPICES, CARAMEL COLOR, SODIUM BENZOATE AS A PRESERVATIVE, MOLASSES, CORN SYRUP, GARLIC*, SUGAR, TAMARIND, NATURAL FLAVOR. *DRIED)), CILANTRO CREMA (MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), PRD ONION GREEN SCALLION, HERB FRESH CILANTRO BUNCH, PRD PEPPER CHILE SERRANO GREEN, BLACK PEPPER, SALT), TOPPING FRENCHS ONION FRIED"
THREE CHILI'S NACHOS,ENTREES,Dinner,Atrium,"TORTILLA CORN TRI COLOR, MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), GUACAMOLE WESTERN STYLE, ROASTED CORN PICO DE GALLO (PICO DE GALLO FRESH, PRD CORN ON THE COB/YELLOW, JUICE FRESH LIME NATURAL, HERB FRESH CILANTRO BUNCH, KOSHER SALT, BLACK PEPPER), QUESO BLANCO SAUCE (CHEESE AMERICAN LOAF 30#, MILK WHOLE 5GAL, BUTTER PRINT SOLIDS 36/1lb, ONION POWDER, GROUND CUMIN, GARLIC POWDER, CHILI POWDER (CHILI PEPPER, SPICES, SALT, SILICON DIOXIDE (TO MAKE FREE FLOWING), AND GARLIC.), CAYENNE PEPPER)"
TOFU POKE BOWL,ENTREES,Dinner,Atrium,"POKE BOWL RICE (RICE STICKY (ORIENTAL), FRU PRD PINEAPPLE GOLDEN 6-7 CT, PRD CUCUMBER SEEDLESS 12ct, FRU PRD AVOCADO RIPE CAL 48CT, FRU PRD MANGO, SAUCE PONZU, PRD PEPPER RED * AVG 22/25#, WATERMELON RADISH, PRD CARROT SHREDDED, PRD KALE LACINATO (BLACK), PRD ONION GREEN SCALLION, WHITE SESAME SEEDS, PRD AMARANTH MICROGREEN, BLACK SESAME SEEDS), TOFU FIRM BULK (WATER, SOYBEANS, CALCIUM SULFATE, CALCIUM CHLORIDE)"
VEGAN KABOB,ENTREES,Dinner,Atrium,"MEZZE BOWL (SALAD TABBOULI, GRAPE LEAVES STUFFED, HUMMUS REG 4/2# (TRIBE: COOKED CHICKPEAS (CHICKPEAS, WATER), TAHINI (GROUND SESAME), CANOLA OIL, SEA SALT, DRIED ROASTED GARLIC, CITRIC ACID, SPICES. CONTAINS SESAME.), OLIVE GREEK KALAMATA PITTED, HORIATIKI GREEK SALAD (CHEESE FETA, PRD ONION RED, PRD PEPPER GREEN LARGE, PRD CUCUMBER SEEDLESS 12ct, PRD TOMATO GRAPE 12/ 1/2pt/RED, OLIVE GREEK KALAMATA PITTED, PRD GARLIC PEELED FRESH GAL, BLACK PEPPER, KOSHER SALT, OREGANO LEAVES, OIL OLIVE PURE, VINEGAR RED WINE 4/1gal)), VEGAN BEYOND GROUND MEAT, ONION POWDER, CHILI POWDER (CHILI PEPPER, SPICES, SALT, SILICON DIOXIDE (TO MAKE FREE FLOWING), AND GARLIC.), SPICE MASALA GARAM , GROUND SUMAC, CAYENNE PEPPER, GARLIC POWDER"
