itemName,type,meal,location,ingredients
CHICKEN SOUVLAKI,ENTREES,Lunch,Atrium,FRZ CHICKEN SKEWER
COCONUT LIME CHICKEN TACO,ENTREES,Lunch,Atrium,"TRI COLOR TORTILLA CHIP W/ TAJIN (CHIP TORTILLA TRI-COLOR), FRZ CHICKEN COOKED DICED (BONELESS, SKINLESS DICED DARK AND WHITE CHICKEN, WATER, RICE STARCH, VINEGAR, SEASONING (MALTODEXTRIN, YEAST EXTRACT, CHICKEN STOCK, SALT AND FLAVORS).), TORTILLAS FLOUR 6"", MILK COCONUT * UNSWEETENED CAN, THAI CHILI CREMA (MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), BASE ROASTED GARLIC (GARLIC JUICE, DEHYDRATED ROASTED GARLIC, SALT, MALTODEXTRIN, SUGAR, MIXED TRIGLYCERIDES, CORN SYRUP SOLIDS, SOYBEAN OIL, NATURAL FLAVORS, AUTOLYZED YEAST EXTRACT (CONTAINS BARLEY), XANTHAN GUM, WATER, SOY LECITHIN, LACTIC ACID, POTASSIUM SORBATE (TO RETARD SPOILAGE), MOLASSES, ONION POWDER, AND GARLIC POWDER), SAUCE CHILI SWEET THAI), PICO DE GALLO (PRD TOMATO LARGE (6x6), PRD ONION RED, PRD PEPPER JALAPENO FRESH, PRD ONION GREEN SCALLION, OIL OLIVE PURE, KOSHER SALT, PRD GARLIC PEELED FRESH GAL, HERB FRESH CILANTRO BUNCH, JUICE REAL LEMON 8/48oz (LEMON JUICE FROM CONCENTRATE (WATER, CONCENTRATED LEMON JUICE), AND LESS THAN 2% OF SODIUM BENZOATE, SODIUM METABISULFITE AND SODIUM SULFITE (PRESERVATIVES), AND LEMON OIL.), JUICE FRESH LIME NATURAL), JUICE FRESH LIME NATURAL, VINEGAR RICE SEASONED (RICE VINEGAR (WATER, RICE), SUGAR, SALT, WATER), HERB FRESH CILANTRO BUNCH, DRESSING MAYONNAISE (SOYBEAN OIL, WATER, WHOLE EGGS AND EGG YOLKS, DISTILLED VINEGAR, SALT, SUGAR, LEMON JUICE CONCENTRATE, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), NATURAL FLAVORS.), PRD RADISH DAIKON -10 LB, PRD CARROT, PRD GARLIC PEELED FRESH GAL, PRD SHALLOTS PEELED GALLON, SUGAR GRANULATED 25LB, BLACK PEPPER, KOSHER SALT, PRD GINGER"
CRISPY CHICKEN SLIDER,ENTREES,Lunch,Atrium,"KINGS HAWAIIN BASE (POTATO FRIES SEASONED WAFFLE , ROLL KINGS HAWAIIAN FOODSERVICE SLICED, PICKLE WHOLE NEW (GREEN)), FRZ CHICKEN TEMPURA BREAST CHUNKS (BONELESS, SKINLESS, CHICKEN BREAST CHUNKS WITH RIB MEAT CONTAINING: UP TO 15% OF A SOLUTION OF WATER, SEASONING [MALTODEXTRIN, AUTOLYZED YEAST EXTRACT, SALT, POTASSIUM CHLORIDE, FLAVORING, DISODIUM INOSINATE, DISODIUM GUANYLATE, CONTAINS LESS THAN 2% (CARROT SOLIDS, CORNSTARCH, DIPOTASSIUM PHOSPHATE, INVERT SUGAR, POTATO MALTODEXTRIN, SODIUM ACETATE, SUGAR, TAPIOCA MALTODEXTRIN, TARTARIC ACID)], MODIFIED FOOD STARCH, SODIUM PHOSPHATES, SALT. COATED WITH: CORN STARCH, TAPIOCA STARCH, DEXTRIN, RICE FLOUR, SALT, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE), SOYBEAN OIL.), CITRUS TAHINI SLAW (PRD SLAW BROCCOLI MIX 2/3LB, CITRUS TAHINI DRESSING (PASTE TAHINI, OIL SESAME SEED 10/56oz, FRU PRD LEMONS 165ct, FRU PRD LIMES, VINEGAR RICE SEASONED (RICE VINEGAR (WATER, RICE), SUGAR, SALT, WATER), WATER FRESH, OIL OLIVE PURE, PRD GARLIC PEELED FRESH GAL, JUICE FRESH LIME NATURAL, KOSHER SALT)), TOPPING FRENCHS ONION FRIED"
GENERAL TSO CHICKEN,ENTREES,Lunch,Atrium,"FRZ CHICKEN TEMPURA BREAST CHUNKS (BONELESS, SKINLESS, CHICKEN BREAST CHUNKS WITH RIB MEAT CONTAINING: UP TO 15% OF A SOLUTION OF WATER, SEASONING [MALTODEXTRIN, AUTOLYZED YEAST EXTRACT, SALT, POTASSIUM CHLORIDE, FLAVORING, DISODIUM INOSINATE, DISODIUM GUANYLATE, CONTAINS LESS THAN 2% (CARROT SOLIDS, CORNSTARCH, DIPOTASSIUM PHOSPHATE, INVERT SUGAR, POTATO MALTODEXTRIN, SODIUM ACETATE, SUGAR, TAPIOCA MALTODEXTRIN, TARTARIC ACID)], MODIFIED FOOD STARCH, SODIUM PHOSPHATES, SALT. COATED WITH: CORN STARCH, TAPIOCA STARCH, DEXTRIN, RICE FLOUR, SALT, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE), SOYBEAN OIL.), SAUCE ASIAN MENU GENERAL TSO (SUGAR, WATER, SOY SAUCE (SOYBEANS, WHEAT, WATER, SALT), VINEGAR, GARLIC JUICE (GARLIC JUICE, SALT), KETCHUP (TOMATO CONCENTRATE, DISTILLED VINEGAR, SUGAR, SALT, ONION POWDER, SPICE, NATURAL FLAVORING), SOYBEAN OIL, GARLIC, XANTHAM GUM, SPICE, NATURAL PRESERVATIVE.), PRD BROCCOLI FLORETTES 4/3#, SAUCE DUCK, FRYING OIL (EXPELLER PRESSED CANOLA OIL), PRD PEPPER GREEN LARGE, PRD PEPPER RED * AVG 22/25#, CORNSTARCH SLURRY (WATER FRESH, CORNSTARCH), PRD ONION SPANISH DRY, OIL WESSON CANOLA 4/1GAL"
GENERAL TSO TOFU,ENTREES,Lunch,Atrium,"RICE BASMATI, TOFU FIRM BULK (WATER, SOYBEANS, CALCIUM SULFATE, CALCIUM CHLORIDE), SAUCE ASIAN MENU GENERAL TSO (SUGAR, WATER, SOY SAUCE (SOYBEANS, WHEAT, WATER, SALT), VINEGAR, GARLIC JUICE (GARLIC JUICE, SALT), KETCHUP (TOMATO CONCENTRATE, DISTILLED VINEGAR, SUGAR, SALT, ONION POWDER, SPICE, NATURAL FLAVORING), SOYBEAN OIL, GARLIC, XANTHAM GUM, SPICE, NATURAL PRESERVATIVE.), PRD ONION SPANISH DRY, PRD BROCCOLI FLORETTES 4/3#, PRD PEPPER GREEN LARGE, PRD PEPPER RED * AVG 22/25#, SAUCE DUCK, FRYING OIL (EXPELLER PRESSED CANOLA OIL), OIL WESSON CANOLA 4/1GAL, CORNSTARCH SLURRY (WATER FRESH, CORNSTARCH)"
GYRO,ENTREES,Lunch,Atrium,"GYRO CONE, PRD LETTUCE SHREDDED, PRD TOMATO LARGE (6x6), PRD ONION RED"
HAND TOSSED CHEESE PIZZA,ENTREES,Lunch,Atrium,"PIZZA DOUGH BALL 20oz, SAUCE PREPARED PIZZA , CHEESE MOZZ SHRED RUTGERS BLEND (LOW MOISTURE WHOLE MILK MOZZARELLA, PROVOLONE CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), POWDERED CELLULOSE (TO PREVENT CAKING), POTASSIUM SORBATE AND NATAMYCIN.)"
HAND TOSSED CHICKEN BACON RANCH PIZZA,ENTREES,Lunch,Atrium,"FRZ PIZZA CRUST PINSA - ATRIUM ONLY, CHEESE MOZZ SHRED RUTGERS BLEND (LOW MOISTURE WHOLE MILK MOZZARELLA, PROVOLONE CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), POWDERED CELLULOSE (TO PREVENT CAKING), POTASSIUM SORBATE AND NATAMYCIN.), SAUCE PREPARED PIZZA , FRZ CHICKEN COOKED DICED (BONELESS, SKINLESS DICED DARK AND WHITE CHICKEN, WATER, RICE STARCH, VINEGAR, SEASONING (MALTODEXTRIN, YEAST EXTRACT, CHICKEN STOCK, SALT AND FLAVORS).), BACON LAYOUT 15 lbs (PORK BACON CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATE, LIQUID SMOKE, SODIUM ERYTHORBATE, SODIUM NITRITE.), DRESSING RANCH CREAMY (SOYBEAN OIL, WATER, CULTURED BUTTERMILK, EGG YOLK, DISTILLED VINEGAR, CONTAINS LESS THAN 2% OF SALT, MONOSODIUM GLUTAMATE, MODIFIED CORN STARCH, BUTTERMILK SOLIDS, SUGAR, GARLIC (DRIED), XANTHAN GUM, SPICE, CITRIC ACID, ONION (DRIED), SORBIC ACID (PRESERVATIVE), CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR), EGG WHITES.)"
HAND TOSSED MEAT LOVER'S PIZZA,ENTREES,Lunch,Atrium,"FRZ PIZZA CRUST PINSA - ATRIUM ONLY, CHEESE MOZZ SHRED RUTGERS BLEND (LOW MOISTURE WHOLE MILK MOZZARELLA, PROVOLONE CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), POWDERED CELLULOSE (TO PREVENT CAKING), POTASSIUM SORBATE AND NATAMYCIN.), SAUCE PREPARED PIZZA , TURKEY PEPPERONI * 20 LB CASE (TURKEY, PEPPERONI SEASONING (CORN SYRUP, SPICES (MUSTARD), PAPRIKA, DEXTROSE, PAPRIKA OLEORESIN, GARLIC POWDER, SPICE EXTRACTIVES, SMOKE FLAVORING), WATER, CONTAINS 2% OR LESS SALT, CITRIC ACID, DEXTROSE, CARRAGEENAN, PEPPER, SODIUM NITRITE.), THUMANN SAUSAGE CRUMBLES (PORK, WATER, SALT, DEXTROSE, ISOLATED SOY PROTEIN, FLAVORINGS, PAPRIKA, BHA, CITRIC ACID.), BACON "" REAL "" BITS (PORK BACON CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATE, SODIUM ERYTHORBATE, SODIUM NITRITE, MAY CONTAIN NATURAL SMOKE FLAVORING.)"
HAND TOSSED VEGGIE PIZZA,ENTREES,Lunch,Atrium,"PIZZA DOUGH BALL 20oz, SAUCE PREPARED PIZZA , CHEESE MOZZ SHRED RUTGERS BLEND (LOW MOISTURE WHOLE MILK MOZZARELLA, PROVOLONE CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), POWDERED CELLULOSE (TO PREVENT CAKING), POTASSIUM SORBATE AND NATAMYCIN.), PRD PEPPER RED * AVG 22/25#, PRD ONION SPANISH DRY, PRD MUSHROOM 10# 1""-1.5"" DIAM, PRD PEPPER GREEN LARGE, OLIVES RIPE SLICED (SLICED RIPE OLIVES, WATER, SALT, FERROUS GLUCONATE (ADDED TO STABILIZE COLOR))"
HUNAN BEEF,ENTREES,Lunch,Atrium,"BEEF STRIPS 1/4 x 1/4 x 3, PRD ASPARAGUS GREEN 11LB, SAUCE ASIAN MENU CLASSIC STIRFRY (SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), SUGAR, WATER, ONIONS, CORN STARCH, XANTHAN GUM, CITRIC ACID, GARLIC PUREE (DEHYDRATED GARLIC, WATER), ROASTED SESAME SEED OIL), PRD ONION SPANISH DRY, PRD PEPPER RED * AVG 22/25#, CORNSTARCH SLURRY (WATER FRESH, CORNSTARCH), OIL WESSON CANOLA 4/1GAL, PRD GARLIC PEELED FRESH GAL, WHITE GROUND PEPPER"
KH WINGS,ENTREES,Lunch,Atrium,"CHICKEN WING JUM DISJ FRSH 40#, POTATO FRIES SEASONED WAFFLE , PICKLE SPEARS DILL TUBS, DRESSING PC 1.5oz BLUE CHEESE CUP, SAUCE FRANKS HOT 4/1gal (AGED CAYENNE RED PEPPER, DISTILLED VINEGAR, WATER, SALT, GARLIC POWDER), TOPPING HONEY MIKES HOT, PRD CELERY STICKS 5LB BAG, PRD CARROT STICKS 5LB BAG"
MEZZE BOWL,ENTREES,Lunch,Atrium,"SALAD TABBOULI, GRAPE LEAVES STUFFED, HUMMUS REG 4/2# (TRIBE: COOKED CHICKPEAS (CHICKPEAS, WATER), TAHINI (GROUND SESAME), CANOLA OIL, SEA SALT, DRIED ROASTED GARLIC, CITRIC ACID, SPICES. CONTAINS SESAME.), OLIVE GREEK KALAMATA PITTED, HORIATIKI GREEK SALAD (CHEESE FETA, PRD ONION RED, PRD PEPPER GREEN LARGE, PRD CUCUMBER SEEDLESS 12ct, PRD TOMATO GRAPE 12/ 1/2pt/RED, OLIVE GREEK KALAMATA PITTED, PRD GARLIC PEELED FRESH GAL, BLACK PEPPER, KOSHER SALT, OREGANO LEAVES, OIL OLIVE PURE, VINEGAR RED WINE 4/1gal)"
SALMON POKE BOWL,ENTREES,Lunch,Atrium,"POKE BOWL RICE (RICE STICKY (ORIENTAL), FRU PRD PINEAPPLE GOLDEN 6-7 CT, PRD CUCUMBER SEEDLESS 12ct, FRU PRD AVOCADO RIPE CAL 48CT, FRU PRD MANGO, SAUCE PONZU, PRD PEPPER RED * AVG 22/25#, WATERMELON RADISH, PRD CARROT SHREDDED, PRD KALE LACINATO (BLACK), PRD ONION GREEN SCALLION, WHITE SESAME SEEDS, PRD AMARANTH MICROGREEN, BLACK SESAME SEEDS), FISH SALMON FLT S/OFF 4oz"
